GCM,Scenario,Volume 2100 (km³),Volume Loss (%),Area 2100 (km²),Area Loss (%)
gfdl-esm4_r1i1p1f1,ssp126,6893628906.7,-70.7,72505939.91,-42.5
gfdl-esm4_r1i1p1f1,ssp370,1510421208.6,-93.6,36485423.37,-71.1
gfdl-esm4_r1i1p1f1,ssp585,1380854292.33,-94.1,36448339.19,-71.1
mpi-esm1-2-hr_r1i1p1f1,ssp126,4978471371.84,-78.9,58625243.6,-53.5
mpi-esm1-2-hr_r1i1p1f1,ssp370,2547620101.97,-89.2,47638855.2,-62.3
mpi-esm1-2-hr_r1i1p1f1,ssp585,1466338178.42,-93.8,32756388.32,-74.0
mri-esm2-0_r1i1p1f1,ssp126,4664214451.31,-80.2,55184091.71,-56.3
mri-esm2-0_r1i1p1f1,ssp370,848096719.56,-96.4,29125166.34,-76.9
mri-esm2-0_r1i1p1f1,ssp585,562362469.04,-97.6,23660600.84,-81.3
ipsl-cm6a-lr_r1i1p1f1,ssp126,2740185892.22,-88.4,47687337.97,-62.2
ipsl-cm6a-lr_r1i1p1f1,ssp370,0.0,-100.0,0.0,-100.0
ipsl-cm6a-lr_r1i1p1f1,ssp585,0.0,-100.0,0.0,-100.0
ukesm1-0-ll_r1i1p1f2,ssp126,0.0,-100.0,0.0,-100.0
ukesm1-0-ll_r1i1p1f2,ssp370,0.0,-100.0,0.0,-100.0
ukesm1-0-ll_r1i1p1f2,ssp585,0.0,-100.0,0.0,-100.0
